Age;Attrition;BusinessVoyage;Tarif_ journalier;Departement;Distance_travail;Formation;Formation-detail;Matricule;Satisfaction_environnement;Genre;tarif_horaire;Investissement_travail;Niveau_managerial;Poste;Satisfaction_travail;Statut_marital;Salaire_mensuel;tarif-mensuel;Nb_entreprises_travaillees;Heures_sup;%_augmentation_salariale;Note_performance;Satisfaction_relations;Contrat_horaire;Annees_dans_vie_pro;Formation_annee_precedente;Equilibre_vie_pro_perso;annee_anciennete;annee_poste_actuel;annees_depuis_promotion;annee_avec_manager_actuel
41;Oui;Voyage_rarement;1102;Ventes;1;2;Sciences;1;2;Femme;94;3;2;Sales Executive;4;célibataire;5993;19479;8;Yes;11;3;1;80;8;0;1;6;4;0;5
49;Non;Voyage_fréquemment;279;R&D;8;1;Sciences;2;3;Homme;61;2;2;Research Scientist;2;Marié;5130;24907;1;No;23;4;4;80;10;3;3;10;7;1;7
37;Oui;Voyage_rarement;1373;R&D;2;2;Autres;4;4;Homme;92;2;1;Laboratory Technician;3;célibataire;2090;2396;6;Yes;15;3;2;80;7;3;3;0;0;0;0
33;Non;Voyage_fréquemment;1392;R&D;3;4;Sciences;5;4;Femme;56;3;1;Research Scientist;3;Marié;2909;23159;1;Yes;11;3;3;80;8;3;3;8;7;3;0
27;Non;Voyage_rarement;591;R&D;2;1;Medecine;7;1;Homme;40;3;1;Laboratory Technician;2;Marié;3468;16632;9;No;12;3;4;80;6;3;3;2;2;2;2
32;Non;Voyage_fréquemment;1005;R&D;2;2;Sciences;8;4;Homme;79;3;1;Laboratory Technician;4;célibataire;3068;11864;0;No;13;3;3;80;8;2;2;7;7;3;6
59;Non;Voyage_rarement;1324;R&D;3;3;Medecine;10;3;Femme;81;4;1;Laboratory Technician;1;Marié;2670;9964;4;Yes;20;4;1;80;12;3;2;1;0;0;0
30;Non;Voyage_rarement;1358;R&D;24;1;Sciences;11;4;Homme;67;3;1;Laboratory Technician;3;Divorcé;2693;13335;1;No;22;4;2;80;1;2;3;1;0;0;0
38;Non;Voyage_fréquemment;216;R&D;23;3;Sciences;12;4;Homme;44;2;3;Manufacturing Director;3;célibataire;9526;8787;0;No;21;4;2;80;10;2;3;9;7;1;8
36;Non;Voyage_rarement;1299;R&D;27;3;Medecine;13;3;Homme;94;3;2;Healthcare Representative;3;Marié;5237;16577;6;No;13;3;2;80;17;3;2;7;7;7;7
35;Non;Voyage_rarement;809;R&D;16;3;Medecine;14;1;Homme;84;4;1;Laboratory Technician;2;Marié;2426;16479;0;No;13;3;3;80;6;5;3;5;4;0;3
29;Non;Voyage_rarement;153;R&D;15;2;Sciences;15;4;Femme;49;2;2;Laboratory Technician;3;célibataire;4193;12682;0;Yes;12;3;4;80;10;3;3;9;5;0;8
31;Non;Voyage_rarement;670;R&D;26;1;Sciences;16;1;Homme;31;3;1;Research Scientist;3;Divorcé;2911;15170;1;No;17;3;4;80;5;1;2;5;2;4;3
34;Non;Voyage_rarement;1346;R&D;19;2;Medecine;18;2;Homme;93;3;1;Laboratory Technician;4;Divorcé;2661;8758;0;No;11;3;3;80;3;2;3;2;2;1;2
28;Oui;Voyage_rarement;103;R&D;24;3;Sciences;19;3;Homme;50;2;1;Laboratory Technician;3;célibataire;2028;12947;5;Yes;14;3;2;80;6;4;3;4;2;0;3
29;Non;Voyage_rarement;1389;R&D;21;4;Sciences;20;2;Femme;51;4;3;Manufacturing Director;1;Divorcé;9980;10195;1;No;11;3;3;80;10;1;3;10;9;8;8
32;Non;Voyage_rarement;334;R&D;5;2;Sciences;21;1;Homme;80;4;1;Research Scientist;2;Divorcé;3298;15053;0;Yes;12;3;4;80;7;5;2;6;2;0;5
22;Non;Voyage-pas;1123;R&D;16;2;Medecine;22;4;Homme;96;4;1;Laboratory Technician;4;Divorcé;2935;7324;1;Yes;13;3;2;80;1;2;2;1;0;0;0
53;Non;Voyage_rarement;1219;Ventes;2;4;Sciences;23;1;Femme;78;2;4;Manager;4;Marié;15427;22021;2;No;16;3;3;80;31;3;3;25;8;3;7
38;Non;Voyage_rarement;371;R&D;2;3;Sciences;24;4;Homme;45;3;1;Research Scientist;4;célibataire;3944;4306;5;Yes;11;3;3;80;6;3;3;3;2;1;2
24;Non;Voyage-pas;673;R&D;11;2;Autres;26;1;Femme;96;4;2;Manufacturing Director;3;Divorcé;4011;8232;0;No;18;3;4;80;5;5;2;4;2;1;3
36;Oui;Voyage_rarement;1218;Ventes;9;4;Sciences;27;3;Homme;82;2;1;Sales Representative;1;célibataire;3407;6986;7;No;23;4;2;80;10;4;3;5;3;0;3
34;Non;Voyage_rarement;419;R&D;7;4;Sciences;28;1;Femme;53;3;3;Research Director;2;célibataire;11994;21293;0;No;11;3;3;80;13;4;3;12;6;2;11
21;Non;Voyage_rarement;391;R&D;15;2;Sciences;30;3;Homme;96;3;1;Research Scientist;4;célibataire;1232;19281;1;No;14;3;4;80;0;6;3;0;0;0;0
34;Oui;Voyage_rarement;699;R&D;6;1;Medecine;31;2;Homme;83;3;1;Research Scientist;1;célibataire;2960;17102;2;No;11;3;3;80;8;2;3;4;2;1;3
53;Non;Voyage_rarement;1282;R&D;5;3;Autres;32;3;Femme;58;3;5;Manager;3;Divorcé;19094;10735;4;No;11;3;4;80;26;3;2;14;13;4;8
32;Oui;Voyage_fréquemment;1125;R&D;16;1;Sciences;33;2;Femme;72;1;1;Research Scientist;1;célibataire;3919;4681;1;Yes;22;4;2;80;10;5;3;10;2;6;7
42;Non;Voyage_rarement;691;Ventes;8;4;Marketing;35;3;Homme;48;3;2;Sales Executive;2;Marié;6825;21173;0;No;11;3;4;80;10;2;3;9;7;4;2
44;Non;Voyage_rarement;477;R&D;7;4;Medecine;36;1;Femme;42;2;3;Healthcare Representative;4;Marié;10248;2094;3;No;14;3;4;80;24;4;3;22;6;5;17
46;Non;Voyage_rarement;705;Ventes;2;4;Marketing;38;2;Femme;83;3;5;Manager;1;célibataire;18947;22822;3;No;12;3;4;80;22;2;2;2;2;2;1
33;Non;Voyage_rarement;924;R&D;2;3;Medecine;39;3;Homme;78;3;1;Laboratory Technician;4;célibataire;2496;6670;4;No;11;3;4;80;7;3;3;1;1;0;0
44;Non;Voyage_rarement;1459;R&D;10;4;Autres;40;4;Homme;41;3;2;Healthcare Representative;4;Marié;6465;19121;2;Yes;13;3;4;80;9;5;4;4;2;1;3
30;Non;Voyage_rarement;125;R&D;9;2;Medecine;41;4;Homme;83;2;1;Laboratory Technician;3;célibataire;2206;16117;1;No;13;3;1;80;10;5;3;10;0;1;8
39;Oui;Voyage_rarement;895;Ventes;5;3;Diplome technique;42;4;Homme;56;3;2;Sales Representative;4;Marié;2086;3335;3;No;14;3;3;80;19;6;4;1;0;0;0
24;Oui;Voyage_rarement;813;R&D;1;3;Medecine;45;2;Homme;61;3;1;Research Scientist;4;Marié;2293;3020;2;Yes;16;3;1;80;6;2;2;2;0;2;0
43;Non;Voyage_rarement;1273;R&D;2;2;Medecine;46;4;Femme;72;4;1;Research Scientist;3;Divorcé;2645;21923;1;No;12;3;4;80;6;3;2;5;3;1;4
50;Oui;Voyage_rarement;869;Ventes;3;2;Marketing;47;1;Homme;86;2;1;Sales Representative;3;Marié;2683;3810;1;Yes;14;3;3;80;3;2;3;3;2;0;2
35;Non;Voyage_rarement;890;Ventes;2;3;Marketing;49;4;Femme;97;3;1;Sales Representative;4;Marié;2014;9687;1;No;13;3;1;80;2;3;3;2;2;2;2
36;Non;Voyage_rarement;852;R&D;5;4;Sciences;51;2;Femme;82;2;1;Research Scientist;1;Marié;3419;13072;9;Yes;14;3;4;80;6;3;4;1;1;0;0
33;Non;Voyage_fréquemment;1141;Ventes;1;3;Sciences;52;3;Femme;42;4;2;Sales Executive;1;Marié;5376;3193;2;No;19;3;1;80;10;3;3;5;3;1;3
35;Non;Voyage_rarement;464;R&D;4;2;Autres;53;3;Homme;75;3;1;Laboratory Technician;4;Divorcé;1951;10910;1;No;12;3;3;80;1;3;3;1;0;0;0
27;Non;Voyage_rarement;1240;R&D;2;4;Sciences;54;4;Femme;33;3;1;Laboratory Technician;1;Divorcé;2341;19715;1;No;13;3;4;80;1;6;3;1;0;0;0
26;Oui;Voyage_rarement;1357;R&D;25;3;Sciences;55;1;Homme;48;1;1;Laboratory Technician;3;célibataire;2293;10558;1;No;12;3;3;80;1;2;2;1;0;0;1
27;Non;Voyage_fréquemment;994;Ventes;8;3;Sciences;56;4;Homme;37;3;3;Sales Executive;3;célibataire;8726;2975;1;No;15;3;4;80;9;0;3;9;8;1;7
30;Non;Voyage_fréquemment;721;R&D;1;2;Medecine;57;3;Femme;58;3;2;Laboratory Technician;4;célibataire;4011;10781;1;No;23;4;4;80;12;2;3;12;8;3;7
41;Oui;Voyage_rarement;1360;R&D;12;3;Diplome technique;58;2;Femme;49;3;5;Research Director;3;Marié;19545;16280;1;No;12;3;4;80;23;0;3;22;15;15;8
34;Non;Voyage-pas;1065;Ventes;23;4;Marketing;60;2;Homme;72;3;2;Sales Executive;3;célibataire;4568;10034;0;No;20;4;3;80;10;2;3;9;5;8;7
37;Non;Voyage_rarement;408;R&D;19;2;Sciences;61;2;Homme;73;3;1;Research Scientist;2;Marié;3022;10227;4;No;21;4;1;80;8;1;3;1;0;0;0
46;Non;Voyage_fréquemment;1211;Ventes;5;4;Marketing;62;1;Homme;98;3;2;Sales Executive;4;célibataire;5772;20445;4;Yes;21;4;3;80;14;4;3;9;6;0;8
35;Non;Voyage_rarement;1229;R&D;8;1;Sciences;63;4;Homme;36;4;1;Laboratory Technician;4;Marié;2269;4892;1;No;19;3;4;80;1;2;3;1;0;0;1
48;Oui;Voyage_rarement;626;R&D;1;2;Sciences;64;1;Homme;98;2;3;Laboratory Technician;3;célibataire;5381;19294;9;Yes;13;3;4;80;23;2;3;1;0;0;0
28;Oui;Voyage_rarement;1434;R&D;5;4;Diplome technique;65;3;Homme;50;3;1;Laboratory Technician;3;célibataire;3441;11179;1;Yes;13;3;3;80;2;3;2;2;2;2;2
44;Non;Voyage_rarement;1488;Ventes;1;5;Marketing;68;2;Femme;75;3;2;Sales Executive;1;Divorcé;5454;4009;5;Yes;21;4;3;80;9;2;2;4;3;1;3
35;Non;Voyage-pas;1097;R&D;11;2;Medecine;70;3;Homme;79;2;3;Healthcare Representative;1;Marié;9884;8302;2;Yes;13;3;3;80;10;3;3;4;0;2;3
26;Non;Voyage_rarement;1443;Ventes;23;3;Marketing;72;3;Femme;47;2;2;Sales Executive;4;Marié;4157;21436;7;Yes;19;3;3;80;5;2;2;2;2;0;0
33;Non;Voyage_fréquemment;515;R&D;1;2;Sciences;73;1;Femme;98;3;3;Research Director;4;célibataire;13458;15146;1;Yes;12;3;3;80;15;1;3;15;14;8;12
35;Non;Voyage_fréquemment;853;Ventes;18;5;Sciences;74;2;Homme;71;3;3;Sales Executive;1;Marié;9069;11031;1;No;22;4;4;80;9;3;2;9;8;1;8
